"Name","Enabled","Description","SortOrder","HasEvenSpaceCharacters","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","HelpshiftLanguageTag","TermsAndServiceUrl","TournamentTermsUrl","ParentsGuideUrl","PrivacyPolicyUrl","TestLanguage","TestExcludes","RegionListFile","MaintenanceRoyalBox","RoyalBoxURL","RoyalBoxStageURL","RoyalBoxDevURL","RoyalBoxQAURL","EventsBaseURL","EventsPostURL","EventsBaseStageURL","EventsPostStageURL","HelpshiftURL","EsportsURL","EsportsStageURL","EsportsDevURL","EsportsQAURL","SelfHelpUrl","SelfHelpStagingUrl","SelfHelpDevUrl"
"String","boolean","string","int","boolean","string","string","string","string","string","string","string","string","boolean","string","string","boolean","string","string","string","string","string","string","string","string","string","String","string","string","string","string","string","string"
"EN","TRUE",,1,,,"en",,"EN","http://supercell.com/en/terms-of-service/","http://supercell.com/en/community-tournament-guidelines/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,"TRUE","https://inbox.clashroyale.com/","https://inbox-staging.clashroyale.com/","https://scroll-inbox-dev.supcdev.net/","https://inbox-staging.clashroyale.com/en_qa/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=en","https://inbox-production.esports.clashroyale.com/en/","https://inbox-staging.esports.clashroyale.com/en/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://ingame.help.supercellsupport.com/clash-royale/en/index.html","https://ingame.help-staging.supercellsupport.com/clash-royale/en/index.html","https://ingame.help-dev.supercellsupport.com/clash-royale/en/index.html"
"FR","TRUE",,5,,,"fr",,"FR","http://supercell.com/en/terms-of-service/fr","http://supercell.com/en/community-tournament-guidelines/fr","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/fr",,,,"TRUE","https://inbox.clashroyale.com/fr/","https://inbox-staging.clashroyale.com/fr/","https://scroll-inbox-dev.supcdev.net/","https://inbox-staging.clashroyale.com/qa/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=fr","https://inbox-production.esports.clashroyale.com/fr/","https://inbox-staging.esports.clashroyale.com/fr/","https://clash-royale-esports-inbox-dev.supcdev.net/fr/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://ingame.help.supercellsupport.com/clash-royale/fr/index.html","https://ingame.help.supercellsupport.com/clash-royale/fr/index.html","https://ingame.help.supercellsupport.com/clash-royale/fr/index.html"
"DE","TRUE",,6,,,"de",,"DE","http://supercell.com/en/terms-of-service/de","http://supercell.com/en/community-tournament-guidelines/de","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/de",,,,"TRUE","https://inbox.clashroyale.com/de/","https://inbox-staging.clashroyale.com/de/","https://scroll-inbox-dev.supcdev.net/","https://inbox-staging.clashroyale.com/qa/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=de","https://inbox-production.esports.clashroyale.com/de/","https://inbox-staging.esports.clashroyale.com/de/","https://clash-royale-esports-inbox-dev.supcdev.net/de/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://ingame.help.supercellsupport.com/clash-royale/de/index.html","https://ingame.help.supercellsupport.com/clash-royale/de/index.html","https://ingame.help.supercellsupport.com/clash-royale/de/index.html"
"ES","TRUE",,7,,,"es",,"ES","http://supercell.com/en/terms-of-service/es","http://supercell.com/en/community-tournament-guidelines/es","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/es",,,,"TRUE","https://inbox.clashroyale.com/es/","https://inbox-staging.clashroyale.com/es/","https://scroll-inbox-dev.supcdev.net/","https://inbox-staging.clashroyale.com/qa/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=es","https://inbox-production.esports.clashroyale.com/es/","https://inbox-staging.esports.clashroyale.com/es/","https://clash-royale-esports-inbox-dev.supcdev.net/es/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://ingame.help.supercellsupport.com/clash-royale/es/index.html","https://ingame.help.supercellsupport.com/clash-royale/es/index.html","https://ingame.help.supercellsupport.com/clash-royale/es/index.html"
"IT","TRUE",,8,,,"it",,"IT","http://supercell.com/en/terms-of-service/it","http://supercell.com/en/community-tournament-guidelines/it","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/it",,,,"TRUE","https://inbox.clashroyale.com/it/","https://inbox-staging.clashroyale.com/it/","https://scroll-inbox-dev.supcdev.net/","https://inbox-staging.clashroyale.com/qa/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=it","https://inbox-production.esports.clashroyale.com/it/","https://inbox-staging.esports.clashroyale.com/it/","https://clash-royale-esports-inbox-dev.supcdev.net/it/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://ingame.help.supercellsupport.com/clash-royale/it/index.html","https://ingame.help.supercellsupport.com/clash-royale/it/index.html","https://ingame.help.supercellsupport.com/clash-royale/it/index.html"
"NL","TRUE",,9,,,"nl",,"NL","http://supercell.com/en/terms-of-service/","http://supercell.com/en/community-tournament-guidelines/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,"TRUE","https://inbox.clashroyale.com/","https://inbox-staging.clashroyale.com/nl/","https://scroll-inbox-dev.supcdev.net/","https://inbox-staging.clashroyale.com/qa/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=nl","https://inbox-production.esports.clashroyale.com/en/","https://inbox-staging.esports.clashroyale.com/en/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://ingame.help.supercellsupport.com/clash-royale/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html"
"NO","TRUE",,10,,,,,"NO","http://supercell.com/en/terms-of-service/","http://supercell.com/en/community-tournament-guidelines/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,"TRUE","https://inbox.clashroyale.com/","https://inbox-staging.clashroyale.com/","https://scroll-inbox-dev.supcdev.net/","https://inbox-staging.clashroyale.com/qa/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=no","https://inbox-production.esports.clashroyale.com/en/","https://inbox-staging.esports.clashroyale.com/en/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://ingame.help.supercellsupport.com/clash-royale/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html"
"PT","TRUE",,11,,,"pt","pt_Br","PT","http://supercell.com/en/terms-of-service/pt","http://supercell.com/en/community-tournament-guidelines/pt","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/pt",,,,"TRUE","https://inbox.clashroyale.com/pt/","https://inbox-staging.clashroyale.com/pt/","https://scroll-inbox-dev.supcdev.net/","https://inbox-staging.clashroyale.com/qa/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=pt","https://inbox-production.esports.clashroyale.com/pt/","https://inbox-staging.esports.clashroyale.com/pt/","https://clash-royale-esports-inbox-dev.supcdev.net/pt/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://ingame.help.supercellsupport.com/clash-royale/pt/index.html","https://ingame.help.supercellsupport.com/clash-royale/pt/index.html","https://ingame.help.supercellsupport.com/clash-royale/pt/index.html"
"TR","TRUE",,12,,,"tr",,"TR","http://supercell.com/en/terms-of-service/tr","http://supercell.com/en/community-tournament-guidelines/tr","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/tr",,,,"TRUE","https://inbox.clashroyale.com/","https://inbox-staging.clashroyale.com/tr/","https://scroll-inbox-dev.supcdev.net/tr/","https://inbox-staging.clashroyale.com/qa/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=tr","https://inbox-production.esports.clashroyale.com/en/","https://inbox-staging.esports.clashroyale.com/en/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://clash-royale-esports-inbox-dev.supcdev.net/en/","https://ingame.help.supercellsupport.com/clash-royale/tr/index.html","https://ingame.help.supercellsupport.com/clash-royale/tr/index.html","https://ingame.help.supercellsupport.com/clash-royale/tr/index.html"
