"Name","Rarity","Tribe","SightRange","DeployTime","ChargeRange","Speed","Hitpoints","HitSpeed","LoadTime","Damage","DamageSpecial","CrownTowerDamagePercent","LoadFirstHit","LoadAfterRetarget","StopTimeAfterAttack","StopTimeAfterSpecialAttack","Projectile","CustomFirstProjectile","MultipleProjectiles","MultipleTargets","AllTargetsHit","Range","MinimumRange","SpecialMinRange","SpecialRange","SpecialLoadTime","SpecialReadyEffect","SpecialIgnoreBuildings","SpecialAttacksToIgnoreList","AttacksGround","AttacksAir","DeathDamageRadius","DeathDamage","DeathPushBack","AttackPushBack","MeleePushback","LifeTime","ProjectileSpecial","ProjectileEffect","ProjectileEffectSpecial","AreaDamageRadius","TargetOnlyBuildings","TargetOnlyTroops","SpecialAttackInterval","BuffOnDamage","BuffOnDamageTime","StartingBuff","StartingBuffTime","Mesh","FileName","BlueExportName","BlueTopExportName","RedExportName","RedTopExportName","PrestigeSWF","PrestigeExportName","PrestigeExportName2","PrestigeExportName3","PrestigeRedExportName","PrestigeRedExportName2","PrestigeRedExportName3","UseAnimator","AttachedCharacter","AttachedCharacterHeight","DamageEffect","DamageEffectSpecial","DeathEffect","MoveEffect","LoopMoveEffect","SpawnEffect","SpawnEffectOnce","CrowdEffects","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","ShadowCustom","ShadowCustomLow","Pushback","IgnorePushback","Scale","CollisionRadius","Mass","TileSizeOverride","AreaBuff","AreaBuffTime","AreaBuffRadius","HealthBar","HealthBarOffsetY","ShowHealthNumber","FlyingHeight","FlyDirectPaths","FlyFromGround","Hovering","DamageExportName","GrowTime","GrowSize","MorphCharacter","MorphEffect","HealOnMorph","AreaEffectOnMorph","MorphTime","MorphKeepTarget","AttackStartEffect","AttackStartEffectSpecial","DashImmuneToDamageTime","DashStartEffect","DashEffect","DashCooldown","JumpHeight","DashPushBack","DashRadius","DashDamage","DashFilter","DashConstantTime","DashLandingTime","LandingEffect","DashMinRange","DashMaxRange","DashDistance","DashOnlyOnce","DashingDamage","DashingPushback","JumpSpeed","ContinuousEffect","SpawnStartTime","SpawnInterval","SpawnNumber","SpawnLimit","DestroyAtLimit","SpawnPauseTime","SpawnCharacterLevelIndex","SpawnCharacter","SpawnCharacterLevelIndex2","SpawnCharacter2","SpawnCharacterLevelIndex3","SpawnCharacter3","SpawnProjectile","SpawnCharacterEffect","SpawnDeployBaseAnim","SpawnRadius","SpawnAttach","SpawnAttachMaxRotation","DeathSpawnDeployBaseAnim","DeathSpawnCount","DeathSpawnCharacter","DeathSpawnCount2","DeathSpawnCharacter2","DeathSpawnCharacter3","RandomizeDeathSpawn","DeathSpawnProjectile","DeathSpawnRadius","DeathSpawnMinRadius","SpawnAngleShift","SpawnMaxAngle","DeathSpawnDeployTime","DeathSpawnPushback","DeathAreaEffect","DeathInheritIgnoreList","Kamikaze","KamikazeTime","KamikazeEffect","SpawnPathfindSpeed","SpawnPathfindEffect","SpawnPathfindMorph","SpawnPushback","SpawnPushbackRadius","SpawnAreaObject","SpawnAreaObjectLevelIndex","ChargeEffect","TakeDamageEffect","ProjectileStartRadius","ProjectileStartZ","StopMovementAfterMS","WaitMS","DontStopMoveAnim","IsSummonerTower","NoDeploySizeW","NoDeploySizeH","TID","VariableDamage2","VariableDamageTime1","VariableDamage3","VariableDamageTime2","TargettedDamageEffect1","TargettedDamageEffect2","TargettedDamageEffect3","DamageLevelTransitionEffect12","DamageLevelTransitionEffect23","FlameEffect1","FlameEffect2","FlameEffect3","TargetEffectY","SelfAsAoeCenter","HidesWhenNotAttacking","HideTimeMs","HideBeforeFirstHit","SpecialAttackWhenHidden","TargetedHitEffect","TargetedHitEffectSpecial","TargetedEffectVisualPushback","UpTimeMs","HideEffect","AppearEffect","AppearPushbackRadius","AppearPushback","AppearAreaObject","ManaCollectAmount","ManaGenerateTimeMs","ManaGenerateLimit","ManaOnDeath","HasRotationOnTimeline","TurretMovement","ProjectileYOffset","ChargeSpeedMultiplier","DeployDelay","DeployBaseAnimExportName","JumpEnabled","SightClip","AreaEffectOnDash","SightClipSide","WalkingSpeedTweakPercentage","ShieldHitpoints","ShieldDiePushback","ShieldLostEffect","BlueShieldExportName","RedShieldExportName","LoadAttackEffect1","LoadAttackEffect2","LoadAttackEffect3","LoadAttackEffectReady","RotateAngleSpeed","DeployTimerDelay","RetargetAfterAttack","AttackShakeTime","VisualHitSpeed","Burst","BurstDelay","BurstKeepTarget","BurstAffectAnimation","ActivationTime","AttackDashTime","LoopingFilter","BuildingTarget","SpawnConstPriority","BuffWhenNotAttacking","BuffWhenNotAttackingTime","BuffWhenNotAttackingEffect","BuffWhenNotAttackingRemoveEffect","AreaEffectOnHit","AttackStateDamage","AttackStateEffect","SpeedBeforeAttack","MoveEffect2","DamageBuffOpponent","DamageBuffOpponentTime","DamageBuffOpponentRadius","DamageOpponentDamage","DamageBuffEffect","IgnoreTargetsWithBuff","DeprioritizeTargetsWithBuff","OverrideAttackFinishTime","AttackFinishTime","BuffOnKill","BuffOnKillTime","BuffOn50HP","BuffOn50HPTime","BuffOnXHP","BuffOnXHPPercent","BuffOnXHPTime","SuckElixirSpeed","DarkElixirRegenRate","CapturableBuilding","SightRangeForCharacters","AttackStateCount","NeutralObject","BuffAfterHitsCount","BuffAfterHitsTime","BuffAfterHits","ConvertOnKill"
"string","string","string","int","int","int","int","int","int","int","int","int","int","boolean","boolean","int","int","string","string","int","int","boolean","int","int","int","int","int","string","boolean","boolean","boolean","boolean","int","int","int","int","int","int","string","string","string","int","boolean","boolean","int","string","int","string","int","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean","string","int","string","string","string","string","boolean","string","boolean","boolean","int","int","int","int","int","string","string","int","boolean","int","int","int","int","string","int","int","string","int","boolean","int","boolean","boolean","boolean","string","int","int","string","string","boolean","string","int","boolean","string","string","int","string","string","int","int","int","int","int","string","int","int","string","int","int","int","boolean","int","int","int","string","int","int","int","int","boolean","int","int","string","int","string","int","string","string","string","string","int","boolean","int","string","int","string","int","string","string","boolean","string","int","int","int","int","int","boolean","string","boolean","boolean","int","string","int","string","string","int","int","string","int","string","string","int","int","int","int","boolean","boolean","int","int","string","int","int","int","int","string","string","string","string","string","string","string","string","int","boolean","boolean","int","boolean","boolean","string","string","int","int","string","string","int","int","string","int","int","int","int","boolean","int","int","int","int","string","boolean","int","string","int","int","int","int","string","string","string","string","string","string","string","int","int","boolean","int","int","int","int","boolean","boolean","int","int","string","boolean","boolean","string","int","string","string","string","int","string","int","string","string","int","int","int","string","string","boolean","boolean","int","string","int","string","int","string","intArray","int","int","int","boolean","int","int","boolean","int","int","string","string"
"KingTower","Common",,7000,,,,2400,1000,500,,,,,,,,"KingProjectile",,,,,7000,,,,,,,,"true","true",,,,,,,,"King_attack",,,,,,,,,,,"sc/building_tower.sc","KingTower_blue",,"KingTower_red",,"sc/building_prestige_dl.sc",,,,,,,,,2400,"musketeer_hit",,"King_player_die",,,,,,102,60,-6,2,13,,,,,100,1400,,2,,,,"Summoner",-27,"true",,,,,"filter_damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,3500,,,,,18,16,"TID_SPELL_WIZARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrincessTower","Common",,7500,,,,1400,800,,,,,,,,,"TowerPrincessProjectile",,,,,7500,,,,,,,,"true","true",,,,,,,,"ArcherTowerAttack",,,,,,,,,,,"sc/building_tower.sc","StarTower_base_blue","StarTower_top_blue","StarTower_base_red","StarTower_top_red","sc/building_prestige_dl.sc",,,,,,,,"TowerPrincess",2200,,,"TowerExplode",,,,,"true",102,70,-5,5,13,,,,,100,1000,,,,,,"Tower",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,3000,,,,"true",11,21,"TID_BUILDING_ARCHER_TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannon","Common",,5500,1000,,,350,1000,,,,,,,,,"TowerCannonball",,,,,5500,,,,,,,,"true",,,,,,,30000,,"cannon_fire_projectile",,,,,,,,,,,"sc/building_basic_cannon.sc","building_cannon",,"building_enemy_cannon",,"sc/building_basic_cannon.sc",,"cannon_prestige_1","cannon_prestige_2",,"cannon_prestige_1_red","cannon_prestige_2_red",,,,,,"Cannon_die",,,"Cannon_deploy",,,90,-90,-7,10,10,,,,,100,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2500,,,,,,,"TID_BUILDING_CANNON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GoblinHut","Rare",,,1000,,,735,10000,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,50000,,,,,,,,,,,,,"sc/building_goblin_hut.sc","building_goblinHut_player",,"building_goblinHut_enemy",,"sc/building_prestige_dl.sc",,"building_goblinHut_prestige2_blue","building_goblinHut_prestige3_blue",,"building_goblinHut_prestige2_red","building_goblinHut_prestige3_red",,,,,,"goblin_hut_die",,,"goblin_hut_deploy",,,90,60,-8,,5,,,,,100,1000,,,,,,,,,,,,,"filter_damage_wobble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"goblin_hut_cont_effect",,,1,,,4500,2,"SpearGoblin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_GOBLIN_HUT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortar","Common",,11500,3500,,,575,5000,4000,,,,,,,,"MortarProjectile",,,,,11500,3500,,,,,,,"true",,,,,,,30000,,"mortar_attack",,,,,,,,,,,"sc/building_mortar.sc","building_mortar1",,"building_mortar1_enemy",,"sc/building_prestige_dl.sc",,"mortar_prestige_blue",,,"mortar_prestige_red",,"true",,,,,"mortar_die",,,"mortar_deploy",,,80,80,,,35,,,,,140,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,,,,,,,"TID_BUILDING_MORTAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"InfernoTower","Rare",,6000,1000,,,825,400,1600,20,,,,,,,,,,,,6000,,,,,,,,"true","true",,,,,,30000,,,,,,,,,,,,,"sc/building_inferno_tower.sc","inferno_blue",,"inferno_red",,"sc/building_prestige_dl.sc",,"Inferno_prestige_blue",,,"Inferno_prestige_red",,"true",,,"inferno_hit_effect",,"Cannon_die",,,"inferno_tower_deploy",,,90,70,-5,15,35,,,,,120,600,,,,,,,,,,,,,,,,,,,,,,"knight_attack_start",,,,,,,,,,,,,,,,,,,,,"Inferno_continuous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,,,,,,,"TID_BUILDING_INFERNO",75,2000,400,2000,"inferno_beam_lvl1","inferno_beam_lvl2","inferno_beam_lvl3","inferno_stage2_root","inferno_stage3_root","inferno_muzzle","inferno_muzzle_stage2","inferno_muzzle_stage3",-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BombTower","Rare",,6000,1000,,,640,1600,1100,,,,,,,,"BombTowerProjectile",,,,,6000,,,,,,,,"true",,,,,,,35000,,"BombTower_attack",,,,,,,,,,,"sc/building_bomb_tower.sc","building_bomb_tower_blue","building_bomb_tower_top_blue","building_bomb_tower_red","building_bomb_tower_top_red","sc/building_prestige_dl.sc",,,,,,,,"Bomber",3200,,,"BombTower_die",,,"goblin_hut_deploy",,,100,85,-8,,35,,,,,100,600,,,,,,,-15,,,,,,"filter_damage_wobble",,,,,,,,,"BombTower_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"BombTowerBomb",,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,,,,,"TID_BUILDING_BOMB_TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianHut","Rare",,,1000,,,1025,10000,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,50000,,,,,,,,,,,,,"sc/building_barbarian_hut.sc","building_barbarian_hut_blue",,"building_barbarian_hut_red",,"sc/building_prestige_dl.sc",,"barbarian_hut_blue_prestige",,,"barbarian_hut_red_prestige",,,,,,,"goblin_hut_die",,,"barb_hut_deploy",,,90,60,-8,,5,,,,,100,1000,,,,,,,,,,,,,"filter_damage_wobble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,2,,,12500,2,"Barbarian",,,,,,,,,,,,2,"Barbarian",,,,,,,,,,,,,,,,,,,,,,,,,,400,400,,,,,,,"TID_BUILDING_BARBARIAN_HUT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tesla","Common",,5500,1000,,,450,1100,600,90,,,,,,,,,,,,5500,,,,,,,,"true","true",,,,,,35000,,,,,,,,,,,,,"sc/building_tesla.sc","tesla1_blue",,"tesla1_red",,"sc/building_prestige_dl.sc",,"tesla_prestige_blue",,,"tesla_prestige_red",,,,,"tesla_hit_effect",,"tesla_die",,,"tesla_deploy",,,80,80,,,35,,,,,90,500,,,,,,,10,,,,,,,,,,,,,,,"Tesla_beam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,,,,,,,"TID_BUILDING_TESLA",,,,,,,,,,,,,-60,,"true",800,,,"Tesla_beam",,,800,"tesla_down","tesla_up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
