"Name","TID","Trophies","Index","LeagueIndex","DivisionIndex","KingLevel","WarResultScore","WarSpecificGold","CollectionChestSize","CollectionChanceOfRareMulti100","CollectionChanceOfEpicMulti10","CollectionChanceOfLegendary","LeagueBadgeSWF","LeagueBadgeExportName","SeasonChestName","LeagueTID","VictoryGold_Collection","VictoryGold_War","LeagueBadgeFrameExportName","LeagueBadgeMiniExportName","BadgeMeshName","Arena","WarEndChest"
"string","string","int","int","int","int","int","int","int","int","int","int","int","string","string","string","string","int","int","string","string","string","String","String"
"Bronze1","TID_CLAN_LEAGUE_BRONZE_1",0,0,0,0,9,100,400,100,560,600,2000,"sc/ui.sc","wood_league_1","Bronze","TID_CLAN_LEAGUE_BRONZE",200,400,"icon_wood_league_1_frame","icon_wood_league_1","badge_1","ArenaClanWars1","WarEndChest_Bronze"
,,,,,,,50,300,,,,,,,,,,,,,,,
,,,,,,,0,200,,,,,,,,,,,,,,,
,,,,,,,0,100,,,,,,,,,,,,,,,
,,,,,,,0,100,,,,,,,,,,,,,,,
"Bronze2","TID_CLAN_LEAGUE_BRONZE_2",200,1,0,1,9,100,400,,,,,,"wood_league_2",,"TID_CLAN_LEAGUE_BRONZE",,,"icon_wood_league_2_frame","icon_wood_league_2",,"ArenaClanWars1","WarEndChest_Bronze"
,,,,,,,50,300,,,,,,,,,,,,,,,
,,,,,,,-5,200,,,,,,,,,,,,,,,
,,,,,,,-10,100,,,,,,,,,,,,,,,
,,,,,,,-20,100,,,,,,,,,,,,,,,
"Bronze3","TID_CLAN_LEAGUE_BRONZE_3",400,2,0,2,9,100,400,,,,,,"wood_league_3",,"TID_CLAN_LEAGUE_BRONZE",,,"icon_wood_league_3_frame","icon_wood_league_3",,"ArenaClanWars1","WarEndChest_Bronze"
,,,,,,,50,300,,,,,,,,,,,,,,,
,,,,,,,-5,200,,,,,,,,,,,,,,,
,,,,,,,-15,100,,,,,,,,,,,,,,,
,,,,,,,-30,100,,,,,,,,,,,,,,,
"Silver1","TID_CLAN_LEAGUE_SILVER_1",600,3,1,0,10,100,600,200,470,430,1200,"sc/ui.sc","silver_league_1","Silver","TID_CLAN_LEAGUE_SILVER",300,600,"icon_silver_league_1_frame","icon_silver_league_1","badge_2","ArenaClanWars2","WarEndChest_Silver"
,,,,,,,50,450,,,,,,,,,,,,,,,
,,,,,,,-10,300,,,,,,,,,,,,,,,
,,,,,,,-20,150,,,,,,,,,,,,,,,
,,,,,,,-40,150,,,,,,,,,,,,,,,
"Silver2","TID_CLAN_LEAGUE_SILVER_2",900,4,1,1,10,100,600,,,,,,"silver_league_2",,"TID_CLAN_LEAGUE_SILVER",,,"icon_silver_league_2_frame","icon_silver_league_2",,"ArenaClanWars2","WarEndChest_Silver"
,,,,,,,50,450,,,,,,,,,,,,,,,
,,,,,,,-15,300,,,,,,,,,,,,,,,
,,,,,,,-30,150,,,,,,,,,,,,,,,
,,,,,,,-60,150,,,,,,,,,,,,,,,
"Silver3","TID_CLAN_LEAGUE_SILVER_3",1200,5,1,2,10,100,600,,,,,,"silver_league_3",,"TID_CLAN_LEAGUE_SILVER",,,"icon_silver_league_3_frame","icon_silver_league_3",,"ArenaClanWars2","WarEndChest_Silver"
,,,,,,,50,450,,,,,,,,,,,,,,,
,,,,,,,-20,300,,,,,,,,,,,,,,,
,,,,,,,-40,150,,,,,,,,,,,,,,,
,,,,,,,-80,150,,,,,,,,,,,,,,,
"Gold1","TID_CLAN_LEAGUE_GOLD_1",1500,6,2,0,11,100,800,350,430,360,800,"sc/ui.sc","gold_league_1","Gold","TID_CLAN_LEAGUE_GOLD",400,800,"icon_gold_league_1_frame","icon_gold_league_1","badge_3","ArenaClanWars3","WarEndChest_Gold"
,,,,,,,50,600,,,,,,,,,,,,,,,
,,,,,,,-25,400,,,,,,,,,,,,,,,
,,,,,,,-50,200,,,,,,,,,,,,,,,
,,,,,,,-100,200,,,,,,,,,,,,,,,
"Gold2","TID_CLAN_LEAGUE_GOLD_2",2000,7,2,1,11,100,800,,,,,,"gold_league_2",,"TID_CLAN_LEAGUE_GOLD",,,"icon_gold_league_2_frame","icon_gold_league_2",,"ArenaClanWars3","WarEndChest_Gold"
,,,,,,,50,600,,,,,,,,,,,,,,,
,,,,,,,-25,400,,,,,,,,,,,,,,,
,,,,,,,-50,200,,,,,,,,,,,,,,,
,,,,,,,-100,200,,,,,,,,,,,,,,,
"Gold3","TID_CLAN_LEAGUE_GOLD_3",2500,8,2,2,11,100,800,,,,,,"gold_league_3",,"TID_CLAN_LEAGUE_GOLD",,,"icon_gold_league_3_frame","icon_gold_league_3",,"ArenaClanWars3","WarEndChest_Gold"
,,,,,,,50,600,,,,,,,,,,,,,,,
,,,,,,,-25,400,,,,,,,,,,,,,,,
,,,,,,,-50,200,,,,,,,,,,,,,,,
,,,,,,,-100,200,,,,,,,,,,,,,,,
"Legendary1","TID_CLAN_LEAGUE_LEGENDARY_1",3000,9,3,0,12,100,1000,550,520,350,700,"sc/ui.sc","legend_league_1","Legendary","TID_CLAN_LEAGUE_LEGENDARY",500,1000,"icon_legend_league_1_frame","icon_legend_league_1","badge_4","ArenaClanWars4","WarEndChest_Legendary"
,,,,,,,50,750,,,,,,,,,,,,,,,
,,,,,,,-25,500,,,,,,,,,,,,,,,
,,,,,,,-50,250,,,,,,,,,,,,,,,
,,,,,,,-100,250,,,,,,,,,,,,,,,
