"Name","TID","GameMode","Location","NPC","PveWave","Rewards","Special","NodeSWF","NodeExportName","IconSWF","IconExportName","DescriptionTID"
"String","String","String","String","String","String","String","String","String","String","String","String","String"
"Reward",,,,,,,"Reward","sc/ui_clan_wars_map_rewards.sc","cw_node_gate_reward_empty",,,
,,,,,,,,,"cw_node_gate_reward_gold",,,
,,,,,,,,,"cw_node_gate_reward_silver",,,
,,,,,,,,,"cw_node_gate_reward_bronze",,,
,,,,,,,,,"cw_node_gate_reward_rest",,,
"RewardEnd",,,,,,,"Reward","sc/ui_clan_wars_map_rewards.sc","cw_node_arena_reward_empty",,,
,,,,,,,,,"cw_node_arena_reward_gold",,,
,,,,,,,,,"cw_node_arena_reward_silver",,,
,,,,,,,,,"cw_node_arena_reward_bronze",,,
,,,,,,,,,"cw_node_arena_reward_rest",,,
"Trader",,,,,,,"Trader","sc/ui_clan_wars_map_01.sc","cw_node_trader","sc/ui.sc","icon_mode_cw_trader",
"RepairTask","TID_WAR_MAP_ITEM_REPAIR_TASK",,,,,"Task","RepairTask","sc/ui_clan_wars_map_01.sc","cw_node_builder","sc/ui.sc","icon_mode_cw_repair","TID_CW_TASK_DESCRIPTION"
"Battle","TID_WAR_MAP_ITEM_BATTLE","CW_Battle_1v1","PvP_barbarian",,,"PVP",,"sc/ui_clan_wars_map_01.sc","cw_node_pve",,,
"Duel","TID_WAR_MAP_ITEM_DUEL","CW_Duel_1v1","PvP_royal",,,"BO3",,"sc/ui_clan_wars_map_01.sc","cw_node_pvp",,,
"LeagueBattle","TID_WAR_MAP_ITEM_DUEL_COLOSSEUM","CW_Duel_1v1","PvP_giant_arena",,,"LeagueBattle","LeagueBattle","sc/ui_clan_wars_map_01.sc","cw_node_arena","sc/ui.sc","icon_mode_cw_colosseum_duel","TID_COLOSSEUM_DUEL_POPUP_INFO"
"LeagueRules",,,,,,,"LeagueInfo","sc/ui_clan_wars_map_01.sc","cw_node_league_hut","sc/ui.sc","icon_mode_cw_repair",
"BattleSuddenDeath","TID_GAMEMODE_OVERTIME","Overtime_Ladder","PvP_dark",,,"PVP",,"sc/ui_clan_wars_map_01.sc","cw_node_game_modes",,,
"BattleTripleElixir","TID_TRIPLE_ELIXIR","TripleElixir_Ladder","PvP_spell",,,"PVP",,"sc/ui_clan_wars_map_01.sc","cw_node_game_modes",,,
"BattleDoubleElixir","TID_DOUBLE_ELIXIR_CHALLENGE","DoubleElixir_Ladder","PvP_jungle",,,"PVP",,"sc/ui_clan_wars_map_01.sc","cw_node_game_modes",,,
"BattleRampUp","TID_RAMP_UP_ELIXIR","RampUpElixir_Ladder","PvP_ice",,,"PVP",,"sc/ui_clan_wars_map_01.sc","cw_node_game_modes",,,
"BattleRage","TID_GAMEMODE_RAGE","Rage_Ladder","PvP_spell",,,"PVP",,"sc/ui_clan_wars_map_01.sc","cw_node_game_modes",,,
"BattleHeist","TID_GAMEMODE_HEIST","Heist_Ladder","PvP_heist_arena",,,"PVP",,"sc/ui_clan_wars_map_01.sc","cw_node_game_modes",,,
"Battle7xElixir","TID_CHALLENGE_LEGENDARAY","7xElixir_Ladder","PvP_builder",,,"PVP",,"sc/ui_clan_wars_map_01.sc","cw_node_game_modes",,,
