"Name","TID","ScFile","ScName","WaterScFile","WaterScName","UpcomingUIScFile","UpcomingUIScName","LimitScoreToSectionLength","UseRiverRaceTrophyChange","NumPeriodsInSection","CanBuildBoatDefenses","RequireDefensesToBattle","CanDestroyBoats","HasClanPointMultiplier","NumTrainingPeriods"
"string","string","string","string","string","string","string","string","boolean","boolean","int","boolean","boolean","boolean","boolean","int"
"RiverRace_1","TID_RIVER_RACE","sc/ui_clan_wars_map_01.sc","clan_war_royale_zone_01","sc/ui_clan_wars_map_water.sc","clan_war_water","sc/ui_clan_wars.sc","overlay_river_locked","TRUE","TRUE",7,"TRUE","TRUE","TRUE","TRUE",
"RiverRace_2","TID_RIVER_RACE","sc/ui_clan_wars_map_01.sc","clan_war_royale_zone_02","sc/ui_clan_wars_map_water.sc","clan_war_water","sc/ui_clan_wars.sc","overlay_river_locked","TRUE","TRUE",7,"TRUE","TRUE","TRUE","TRUE",
"RiversEnd","TID_RIVERS_END","sc/ui_clan_wars_map_01.sc","clan_war_royale_zone_arena","sc/ui_clan_wars_map_water.sc","clan_war_water","sc/ui_clan_wars.sc","overlay_river_leagues_locked",,,7,"TRUE","TRUE","TRUE","TRUE",
"RiverRace_1_Winter","TID_RIVER_RACE","sc/ui_clan_wars_map_02.sc","clan_war_royale_zone_01","sc/ui_clan_wars_map_water_snow.sc","clan_war_water","sc/ui_clan_wars.sc","overlay_river_locked","TRUE","TRUE",7,"TRUE","TRUE","TRUE","TRUE",
"RiverRace_2_Winter","TID_RIVER_RACE","sc/ui_clan_wars_map_02.sc","clan_war_royale_zone_02","sc/ui_clan_wars_map_water_snow.sc","clan_war_water","sc/ui_clan_wars.sc","overlay_river_locked","TRUE","TRUE",7,"TRUE","TRUE","TRUE","TRUE",
"RiversEnd_Winter","TID_RIVERS_END","sc/ui_clan_wars_map_02.sc","clan_war_royale_zone_arena","sc/ui_clan_wars_map_water_snow.sc","clan_war_water","sc/ui_clan_wars.sc","overlay_river_leagues_locked",,,7,"TRUE","TRUE","TRUE","TRUE",
"V2_RiverRace_1","TID_RIVER_RACE","sc/ui_clan_wars_map_01.sc","clan_war_royale_zone_01","sc/ui_clan_wars_map_water.sc","clan_war_water","sc/ui_clan_wars.sc","overlay_river_locked","TRUE","TRUE",7,"TRUE","FALSE","FALSE","FALSE",3
"V2_RiverRace_2","TID_RIVER_RACE","sc/ui_clan_wars_map_01.sc","clan_war_royale_zone_02","sc/ui_clan_wars_map_water.sc","clan_war_water","sc/ui_clan_wars.sc","overlay_river_locked","TRUE","TRUE",7,"TRUE","FALSE","FALSE","FALSE",3
"V2_RiversEnd","TID_RIVERS_END","sc/ui_clan_wars_map_01.sc","clan_war_royale_zone_arena","sc/ui_clan_wars_map_water.sc","clan_war_water","sc/ui_clan_wars.sc","overlay_river_leagues_locked",,,7,"FALSE","FALSE","FALSE","FALSE",3
