"Name","TID","TemplateIndex","DataIndex","LeagueIndex","DivisionIndex","RequiredWins","LossSubtraction","CardLevelCap","GameMode","IsEloBased","WinsToCreateFloor","SeasonResetWinMultiplier","ShouldCountWinRateForInitialElo","IconSWF","IconExportName","ListIconExportName","UnlockReward","UnlockRewardAmount","OneTimeReward","OneTimeRewardAmount","EndOfSeasonReward","EndOfSeasonRewardAmount","LeagueDividerExportName","MatchmakingMinScoreDelta","MatchmakingMaxScoreDelta","MatchmakingMaxSeconds"
"string","string","Int","Int","Int","Int","Int","Int","Int","String","Boolean","Int","Int","Boolean","String","String","String","String","Int","String","Int","String","Int","String","Int","Int","Int"
"Template_1_Ranked1.1","TID_RANKED_LEAGUE_1",1,0,0,0,0,0,11,"Ranked1v1","FALSE",1,1,,"sc/ui_league_badges.sc","league_badge_001","league_badge_001_nofx","Gold",3000,,,,,"divider_league",1,10,60
"Template_1_Ranked1.2","TID_RANKED_LEAGUE_1",1,1,0,1,5,0,11,"Ranked1v1","FALSE",,,,"sc/ui_league_badges.sc","league_badge_001","league_badge_001_nofx","WildcardCommon",250,,,,,,1,10,60
"Template_1_Ranked2.1","TID_RANKED_LEAGUE_2",1,2,1,0,10,1,11,"Ranked1v1","FALSE",3,2,,"sc/ui_league_badges.sc","league_badge_002","league_badge_002_nofx","Gold",6000,"Chest_Giant_Arena_L1",1,,,"divider_league",2,10,60
"Template_1_Ranked2.2","TID_RANKED_LEAGUE_2",1,3,1,1,13,1,11,"Ranked1v1","FALSE",,,,"sc/ui_league_badges.sc","league_badge_002","league_badge_002_nofx","WildcardRare",50,,,,,,2,10,60
"Template_1_Ranked2.3","TID_RANKED_LEAGUE_2",1,4,1,2,17,1,11,"Ranked1v1","FALSE",,,,"sc/ui_league_badges.sc","league_badge_002","league_badge_002_nofx","Gold",6000,,,,,,2,10,60
"Template_1_Ranked3.1","TID_RANKED_LEAGUE_3",1,5,2,0,21,1,11,"Ranked1v1","FALSE",4,2,,"sc/ui_league_badges.sc","league_badge_003","league_badge_003_nofx","WildcardEpic",10,"Gold",15000,,,"divider_league",2,10,60
"Template_1_Ranked3.2","TID_RANKED_LEAGUE_3",1,6,2,1,26,1,11,"Ranked1v1","FALSE",,,,"sc/ui_league_badges.sc","league_badge_003","league_badge_003_nofx","Gold",6000,,,,,,2,10,60
"Template_1_Ranked4.1","TID_RANKED_LEAGUE_4",1,7,3,0,32,1,12,"Ranked1v1","FALSE",5,3,"TRUE","sc/ui_league_badges.sc","league_badge_004","league_badge_004_nofx","WildcardLegendary",1,"Chest_Magic_Arena_L1",1,,,"divider_league",2,10,60
"Template_1_Ranked4.2","TID_RANKED_LEAGUE_4",1,8,3,1,35,1,12,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_004","league_badge_004_nofx","Gold",6000,,,,,,2,10,60
"Template_1_Ranked4.3","TID_RANKED_LEAGUE_4",1,9,3,2,39,1,12,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_004","league_badge_004_nofx","WildcardChampion",1,,,,,,2,10,60
"Template_1_Ranked5.1","TID_RANKED_LEAGUE_5",1,10,4,0,43,1,12,"Ranked1v1","FALSE",6,4,"TRUE","sc/ui_league_badges.sc","league_badge_005","league_badge_005_nofx","Gold",6000,"Gold",20000,,,"divider_league",2,10,60
"Template_1_Ranked5.2","TID_RANKED_LEAGUE_5",1,11,4,1,46,1,12,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_005","league_badge_005_nofx","Gold",6000,,,,,,2,10,60
"Template_1_Ranked5.3","TID_RANKED_LEAGUE_5",1,12,4,2,50,1,12,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_005","league_badge_005_nofx","WildcardCommon",250,,,,,,2,10,60
"Template_1_Ranked6.1","TID_RANKED_LEAGUE_6",1,13,5,0,54,1,13,"Ranked1v1","FALSE",7,4,"TRUE","sc/ui_league_badges.sc","league_badge_006","league_badge_006_nofx","Gold",6000,"Chest_Shop_Small_1_Arena_L1",1,,,"divider_league",2,10,60
"Template_1_Ranked6.2","TID_RANKED_LEAGUE_6",1,14,5,1,57,1,13,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_006","league_badge_006_nofx","WildcardRare",50,,,,,,2,10,60
"Template_1_Ranked6.3","TID_RANKED_LEAGUE_6",1,15,5,2,61,1,13,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_006","league_badge_006_nofx","Gold",6000,,,,,,2,10,60
"Template_1_Ranked7.1","TID_RANKED_LEAGUE_7",1,16,6,0,65,1,13,"Ranked1v1","FALSE",-1,5,"TRUE","sc/ui_league_badges.sc","league_badge_007","league_badge_007_nofx","WildcardEpic",10,"Gold",25000,,,"divider_league",2,10,60
"Template_1_Ranked7.2","TID_RANKED_LEAGUE_7",1,17,6,1,68,1,13,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_007","league_badge_007_nofx","Gold",6000,,,,,,2,10,60
"Template_1_Ranked8.1","TID_RANKED_LEAGUE_8",1,18,7,0,71,1,14,"Ranked1v1","FALSE",-1,5,"TRUE","sc/ui_league_badges.sc","league_badge_008","league_badge_008_nofx","WildcardLegendary",1,"Chest_Shop_Large_Legendary_Arena_L1",1,,,"divider_league",2,10,60
"Template_1_Ranked8.2","TID_RANKED_LEAGUE_8",1,19,7,1,74,1,14,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_008","league_badge_008_nofx","Gold",6000,,,,,,2,10,60
"Template_1_Ranked9.1","TID_RANKED_LEAGUE_9",1,20,8,0,78,1,14,"Ranked1v1","FALSE",-1,6,"TRUE","sc/ui_league_badges.sc","league_badge_009","league_badge_009_nofx","WildcardChampion",1,"Gold",30000,,,"divider_league",2,10,60
"Template_1_Ranked9.2","TID_RANKED_LEAGUE_9",1,21,8,1,82,1,14,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_009","league_badge_009_nofx","Gold",6000,,,,,,2,10,60
"Template_1_Ranked10","TID_RANKED_LEAGUE_10",1,22,9,0,87,1,14,"Ranked1v1","TRUE",-1,6,"TRUE","sc/ui_league_badges.sc","league_badge_010","league_badge_010_nofx","Gold",6000,"Emote_EmoteChronos71",1,,,"divider_league_last",15,300,60
"Template_2_Ranked1.1","TID_RANKED_LEAGUE_1",2,0,0,0,0,0,11,"Ranked1v1","FALSE",1,1,,"sc/ui_league_badges.sc","league_badge_001","league_badge_001_nofx","Gold",3000,,,,,"divider_league",1,10,60
"Template_2_Ranked1.2","TID_RANKED_LEAGUE_1",2,1,0,1,5,0,11,"Ranked1v1","FALSE",,,,"sc/ui_league_badges.sc","league_badge_001","league_badge_001_nofx","WildcardCommon",250,,,,,,1,10,60
"Template_2_Ranked2.1","TID_RANKED_LEAGUE_2",2,2,1,0,10,1,11,"Ranked1v1","FALSE",3,2,,"sc/ui_league_badges.sc","league_badge_002","league_badge_002_nofx","Gold",6000,"Chest_Giant_Arena_L1",1,,,"divider_league",2,10,60
"Template_2_Ranked2.2","TID_RANKED_LEAGUE_2",2,3,1,1,13,1,11,"Ranked1v1","FALSE",,,,"sc/ui_league_badges.sc","league_badge_002","league_badge_002_nofx","WildcardRare",50,,,,,,2,10,60
"Template_2_Ranked2.3","TID_RANKED_LEAGUE_2",2,4,1,2,17,1,11,"Ranked1v1","FALSE",,,,"sc/ui_league_badges.sc","league_badge_002","league_badge_002_nofx","Gold",6000,,,,,,2,10,60
"Template_2_Ranked3.1","TID_RANKED_LEAGUE_3",2,5,2,0,21,1,11,"Ranked1v1","FALSE",4,2,,"sc/ui_league_badges.sc","league_badge_003","league_badge_003_nofx","WildcardEpic",10,"Gold",15000,,,"divider_league",2,10,60
"Template_2_Ranked3.2","TID_RANKED_LEAGUE_3",2,6,2,1,26,1,11,"Ranked1v1","FALSE",,,,"sc/ui_league_badges.sc","league_badge_003","league_badge_003_nofx","Gold",6000,,,,,,2,10,60
"Template_2_Ranked4.1","TID_RANKED_LEAGUE_4",2,7,3,0,32,1,12,"Ranked1v1","FALSE",5,3,"TRUE","sc/ui_league_badges.sc","league_badge_004","league_badge_004_nofx","Emote_EmoteChronos76",1,"Chest_Magic_Arena_L1",1,,,"divider_league",2,10,60
"Template_2_Ranked4.2","TID_RANKED_LEAGUE_4",2,8,3,1,35,1,12,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_004","league_badge_004_nofx","WildcardLegendary",1,,,,,,2,10,60
"Template_2_Ranked4.3","TID_RANKED_LEAGUE_4",2,9,3,2,39,1,12,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_004","league_badge_004_nofx","Gold",6000,,,,,,2,10,60
"Template_2_Ranked5.1","TID_RANKED_LEAGUE_5",2,10,4,0,43,1,12,"Ranked1v1","FALSE",6,4,"TRUE","sc/ui_league_badges.sc","league_badge_005","league_badge_005_nofx","WildcardChampion",1,"Gold",20000,,,"divider_league",2,10,60
"Template_2_Ranked5.2","TID_RANKED_LEAGUE_5",2,11,4,1,46,1,12,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_005","league_badge_005_nofx","Gold",6000,,,,,,2,10,60
"Template_2_Ranked5.3","TID_RANKED_LEAGUE_5",2,12,4,2,50,1,12,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_005","league_badge_005_nofx","WildcardCommon",250,,,,,,2,10,60
"Template_2_Ranked6.1","TID_RANKED_LEAGUE_6",2,13,5,0,54,1,13,"Ranked1v1","FALSE",7,4,"TRUE","sc/ui_league_badges.sc","league_badge_006","league_badge_006_nofx","Gold",6000,"Chest_Shop_Small_1_Arena_L1",1,,,"divider_league",2,10,60
"Template_2_Ranked6.2","TID_RANKED_LEAGUE_6",2,14,5,1,57,1,13,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_006","league_badge_006_nofx","WildcardRare",50,,,,,,2,10,60
"Template_2_Ranked6.3","TID_RANKED_LEAGUE_6",2,15,5,2,61,1,13,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_006","league_badge_006_nofx","Gold",6000,,,,,,2,10,60
"Template_2_Ranked7.1","TID_RANKED_LEAGUE_7",2,16,6,0,65,1,13,"Ranked1v1","FALSE",-1,5,"TRUE","sc/ui_league_badges.sc","league_badge_007","league_badge_007_nofx","WildcardEpic",10,"Gold",25000,,,"divider_league",2,10,60
"Template_2_Ranked7.2","TID_RANKED_LEAGUE_7",2,17,6,1,69,1,13,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_007","league_badge_007_nofx","Gold",6000,,,,,,2,10,60
"Template_2_Ranked8.1","TID_RANKED_LEAGUE_8",2,18,7,0,73,1,14,"Ranked1v1","FALSE",-1,5,"TRUE","sc/ui_league_badges.sc","league_badge_008","league_badge_008_nofx","WildcardLegendary",1,"Chest_Shop_Large_Legendary_Arena_L1",1,,,"divider_league",2,10,60
"Template_2_Ranked8.2","TID_RANKED_LEAGUE_8",2,19,7,1,77,1,14,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_008","league_badge_008_nofx","Gold",6000,,,,,,2,10,60
"Template_2_Ranked9.1","TID_RANKED_LEAGUE_9",2,20,8,0,82,1,14,"Ranked1v1","FALSE",-1,6,"TRUE","sc/ui_league_badges.sc","league_badge_009","league_badge_009_nofx","WildcardChampion",1,"Gold",30000,,,"divider_league",2,10,60
"Template_2_Ranked9.2","TID_RANKED_LEAGUE_9",2,21,8,1,87,1,14,"Ranked1v1","FALSE",,,"TRUE","sc/ui_league_badges.sc","league_badge_009","league_badge_009_nofx","Gold",6000,,,,,,2,10,60
"Template_2_Ranked10","TID_RANKED_LEAGUE_10",2,22,9,0,93,1,14,"Ranked1v1","TRUE",-1,6,"TRUE","sc/ui_league_badges.sc","league_badge_010","league_badge_010_nofx","Gold",6000,"Emote_EmoteChronos71",1,,,"divider_league_last",15,150,90
