"Name","Trophies","ItemSWF","ItemExportName","Align","Amount","Spell","SpellAlt","Resource","Chest","EmoteIDHigh","EmoteIDLow","RandomSpell","Token"
"String","int","string","string","string","int","string","string","string","string","int","int","string","string"
"Default",50,"sc/ui_trophy_road_milestones.sc","tr_1_1","right",10,"Goblins","SpearGoblins",,,,,,
,100,"sc/ui_trophy_road_milestones.sc","tr_1_2","left",1,,,,"Gold_Arena1",,,,
,150,"sc/ui_trophy_road_milestones.sc","tr_1_3","right",4,"GoblinHut","HogRider",,,,,,
,200,"sc/ui_trophy_road_milestones.sc","tr_1_4","left",200,,,"Gold",,,,,
,250,"sc/ui_trophy_road_milestones.sc","tr_1_5","right",1,"GoblinBarrel","Hunter",,,,,,
,350,"sc/ui_trophy_road_milestones.sc","tr_2_1","right",25,"Skeletons","Bomber",,,,,,
,400,"sc/ui_trophy_road_milestones.sc","tr_2_2","left",1,,,,"Gold_Arena2",,,,
,450,"sc/ui_trophy_road_milestones.sc","tr_2_3","right",6,"Tombstone","Valkyrie",,,,,,
,500,"sc/ui_trophy_road_milestones.sc","tr_2_4","left",400,,,"Gold",,,,,
,550,"sc/ui_trophy_road_milestones.sc","tr_2_5","right",1,"Witch","GiantSkeleton",,,,,,
,650,"sc/ui_trophy_road_milestones.sc","tr_3_1","right",50,"Barbarians","Cannon",,,,,,
,700,"sc/ui_trophy_road_milestones.sc","tr_3_2","left",1,,,,"Gold_Arena3",,,,
,750,"sc/ui_trophy_road_milestones.sc","tr_3_3","right",8,"BattleRam","BarbarianHut",,,,,,
,800,"sc/ui_trophy_road_milestones.sc","tr_3_4","left",600,,,"Gold",,,,,
,850,"sc/ui_trophy_road_milestones.sc","tr_3_5","right",1,"Golem","BarbLog",,,,,,
,900,"sc/ui_trophy_road_milestones.sc","tr_3_6","left",50,,,"Diamonds",,,,,
,950,"sc/ui_trophy_road_milestones.sc","tr_3_7","right",1,,,,"Giant_Arena3",,,,
,1050,"sc/ui_trophy_road_milestones.sc","tr_4_1","right",50,"Zap","MinionHorde",,,,,,
,1100,"sc/ui_trophy_road_milestones.sc","tr_4_2","left",1,,,,"Gold_Arena4",,,,
,1150,"sc/ui_trophy_road_milestones.sc","tr_4_3","right",10,"InfernoTower","MegaMinion",,,,,,
,1200,"sc/ui_trophy_road_milestones.sc","tr_4_4","left",800,,,"Gold",,,,,
,1250,"sc/ui_trophy_road_milestones.sc","tr_4_5","right",1,"Pekka","Lightning",,,,,,
,1350,"sc/ui_trophy_road_milestones.sc","tr_5_1","right",50,"FireSpirits","Bats",,,,,,
,1400,"sc/ui_trophy_road_milestones.sc","tr_5_2","left",1,,,,"Magic_Arena5",,,,
,1450,"sc/ui_trophy_road_milestones.sc","tr_5_3","right",10,"FirespiritHut","Wizard",,,,,,
,1500,"sc/ui_trophy_road_milestones.sc","tr_5_4","left",1000,,,"Gold",,,,,
,1550,"sc/ui_trophy_road_milestones.sc","tr_5_5","right",1,"Poison","Tornado",,,,,,
,1650,"sc/ui_trophy_road_milestones.sc","tr_6_1","right",50,"Mortar","SkeletonBalloon",,,,,,
